"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-06-10 20:25:21,-16.1481,178.3903,10.98,5,"mb",NA,121,1.62,1.28,"us","us70003xuq","2019-08-27T17:48:09.040Z","110km WNW of Lambasa, Fiji","earthquake",12.3,1.9,0.059,91,"reviewed","us","us"
2019-06-08 14:11:13,-17.7632,-178.6372,533.92,4.7,"mb",NA,72,3.154,1.2,"us","us70003x7q","2019-08-27T17:47:54.040Z","258km SE of Lambasa, Fiji","earthquake",11.1,6.7,0.029,371,"reviewed","us","us"
2019-06-04 17:00:52,-17.7376,-178.5912,555.97,4.1,"mb",NA,162,3.198,0.5,"us","us70003yht","2019-08-27T17:47:30.040Z","260km SE of Lambasa, Fiji","earthquake",19.8,10.5,0.1,30,"reviewed","us","us"
2019-06-04 07:34:16,-17.9522,-178.4996,579.71,4.3,"mb",NA,121,3.29,0.5,"us","us70003yi3","2019-08-27T17:47:27.040Z","282km SE of Lambasa, Fiji","earthquake",17,8.4,0.154,12,"reviewed","us","us"
2019-06-01 04:32:54,-17.3614,-178.6736,538.02,4.2,"mb",NA,70,3.082,0.97,"us","us70003wth","2019-08-24T21:17:43.040Z","231km ESE of Lambasa, Fiji","earthquake",11.4,8.1,0.104,26,"reviewed","us","us"
2019-05-27 20:59:24,-17.6149,-178.7901,523.49,4.2,"mb",NA,79,3.012,0.77,"us","us70003vak","2019-08-13T14:30:51.040Z","235km SE of Lambasa, Fiji","earthquake",14.8,5.2,0.153,12,"reviewed","us","us"
2019-05-25 04:50:10,-16.5505,177.6175,10,4.6,"mb",NA,99,1.258,1.08,"us","us70003tst","2019-08-13T14:30:50.040Z","119km N of Lautoka, Fiji","earthquake",9.1,1.8,0.244,8,"reviewed","us","us"
2019-05-24 09:36:17,-16.4554,178.0574,10,5.1,"mww",NA,83,1.282,0.92,"us","us60003rlu","2019-08-13T14:30:34.040Z","141km W of Lambasa, Fiji","earthquake",8.3,1.8,0.103,9,"reviewed","us","us"
2019-05-14 11:20:58,-17.9961,-178.4744,605.23,4.2,"mb",NA,115,3.316,0.99,"us","us70003kxs","2019-08-07T22:03:34.040Z","287km SE of Lambasa, Fiji","earthquake",14.9,7.4,0.051,106,"reviewed","us","us"
2019-05-12 04:25:47,-17.8751,-178.4788,566.13,4.1,"mb",NA,96,7.557,1.07,"us","us70003nj7","2019-08-01T17:15:23.040Z","278km SE of Lambasa, Fiji","earthquake",15.6,11.7,0.078,45,"reviewed","us","us"
2019-05-12 02:47:44,-17.838,-178.5957,567.38,4.6,"mb",NA,80,3.194,1.2,"us","us70003jxr","2019-08-01T17:15:13.040Z","266km SE of Lambasa, Fiji","earthquake",12.1,7,0.028,386,"reviewed","us","us"
2019-05-10 00:19:07,-17.6261,-178.4205,594.61,4.2,"mb",NA,132,3.364,0.68,"us","us70003mkn","2019-08-01T17:15:21.040Z","269km ESE of Lambasa, Fiji","earthquake",10.6,10.4,0.141,14,"reviewed","us","us"
2019-05-07 16:59:32,-17.7467,-178.8324,557.07,4.4,"mb",NA,154,2.968,0.7,"us","us70003m1r","2019-08-01T17:15:19.040Z","240km SE of Lambasa, Fiji","earthquake",17.3,11.2,0.104,27,"reviewed","us","us"
2019-05-05 03:00:26,-17.3429,-178.8885,538.45,4.1,"mb",NA,183,2.945,0.66,"us","us70003l1a","2019-07-25T18:54:19.040Z","210km ESE of Lambasa, Fiji","earthquake",15.4,8.1,0.151,12,"reviewed","us","us"
2019-05-02 21:07:33,-17.8151,-178.5432,542.77,4.5,"mb",NA,85,3.244,0.92,"us","us70003jdz","2019-07-25T18:54:10.040Z","269km SE of Lambasa, Fiji","earthquake",13.7,7.8,0.081,44,"reviewed","us","us"
2019-04-26 23:18:41,-16.548,-179.595,521.3,4.4,"mb",NA,91,2.544,0.81,"us","us70003hju","2019-07-13T18:42:56.040Z","110km E of Lambasa, Fiji","earthquake",15.8,10.3,0.115,22,"reviewed","us","us"
2019-04-22 12:30:31,-17.5229,-178.7567,531.34,4.9,"mb",NA,78,3.05,0.81,"us","us70003a83","2019-06-26T20:55:13.040Z","232km ESE of Lambasa, Fiji","earthquake",14.1,8.1,0.104,29,"reviewed","us","us"
2019-04-16 09:40:43,-17.4761,-178.7564,542.56,4.2,"mb",NA,157,3.054,0.5,"us","us70003bzq","2019-06-26T20:54:42.040Z","230km ESE of Lambasa, Fiji","earthquake",13.7,8.4,0.055,94,"reviewed","us","us"
